gc_content_percent	read_count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	2
27	1
28	6
29	3
30	11
31	7
32	26
33	21
34	41
35	22
36	79
37	62
38	142
39	80
40	236
41	185
42	480
43	325
44	869
45	608
46	1734
47	1219
48	3166
49	2280
50	7323
51	2794
52	4268
53	1747
54	3060
55	1336
56	2321
57	992
58	1742
59	670
60	1189
61	490
62	849
63	381
64	622
65	221
66	389
67	156
68	226
69	99
70	122
71	50
72	88
73	27
74	36
75	38
76	15
77	18
78	5
79	4
80	1
81	2
82	0
83	2
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
